Class Name,Lines Of Code
./api/AbstractIterableAssert.java,867
./api/AbstractBigDecimalAssert.java,110
./api/ThrowableTypeAssert.java,49
./api/AbstractOptionalLongAssert.java,35
./api/AbstractInputStreamAssert.java,25
./api/DoubleAssert.java,11
./api/AbstractObjectArrayAssert.java,594
./api/JUnitSoftAssertions.java,18
./api/AtomicLongFieldUpdaterAssert.java,18
./api/DoublePredicateAssert.java,23
./api/LocalDateTimeAssert.java,8
./api/BDDAssertions.java,398
./api/AbstractMapSizeAssert.java,12
./api/ClassAssert.java,18
./api/SoftAssertionMapAssert.java,9
./api/Assumptions.java,464
./api/LongArrayAssert.java,15
./api/Java6BDDAssertions.java,297
./api/AssertionsForInterfaceTypes.java,116
./api/MapSizeAssert.java,20
./api/FloatingPointNumberAssert.java,9
./api/BigIntegerAssert.java,8
./api/AbstractPathAssert.java,144
./api/OffsetTimeAssert.java,8
./api/SoftAssertionClassAssert.java,8
./api/WithAssumptions.java,335
./api/AbstractLongArrayAssert.java,121
./api/AbstractListAssert.java,257
./api/AtomicStampedReferenceAssert.java,25
./api/AbstractPredicateLikeAssert.java,50
./api/AtomicReferenceArrayAssert.java,581
./api/AbstractCharSequenceAssert.java,233
./api/AbstractFutureAssert.java,32
./api/AtomicIntegerAssert.java,115
./api/Assert.java,42
./api/SoftAssertions.java,18
./api/AbstractOptionalDoubleAssert.java,55
./groups/Properties.java,47
./groups/FieldsOrPropertiesExtractor.java,32
./groups/Tuple.java,51
